,segment_id
9631,864691132653472727
9637,864691132908534405
9649,864691132593387575
9653,864691132700135570
9656,864691132560051172
9660,864691132680809696
9663,864691132702432756
9664,864691132766200332
9667,864691132788076022
9678,864691132615636033
9692,864691132646468519
9696,864691132681920031
9703,864691132645016446
9708,864691132660974916
9709,864691132731093678
9710,864691132734993540
9718,864691132561504462
9727,864691132827599004
9736,864691132719800673
9737,864691132578817556
9755,864691132806753951
9759,864691132716052187
9762,864691132625811260
9772,864691132908523367
9773,864691132621005772
9775,864691132728102128
9777,864691132555284745
9785,864691132592720951
9787,864691132806367265
9797,864691132937441502
9808,864691132719849825
9810,864691132680743624
9811,864691132954636745
9820,864691132609860280
9830,864691132938966193
9849,864691132722580833
9853,864691132825285794
9857,864691132664076376
9858,864691132842480308
9873,864691132984451680
9886,864691132900368634
9887,864691132966561901
9893,864691132608747131
9894,864691132916461001
9897,864691132863464941
9898,864691132642254462
9906,864691132679317305
9925,864691132772091831
9940,864691132737946457
9952,864691132960203293
9965,864691132760062059
9966,864691132711334149
9971,864691132738643129
9974,864691132966530669
9978,864691132680861664
9983,864691132657972905
9986,864691132801172838
9994,864691132797839381
10002,864691132633012404
10003,864691132661065284
10019,864691132845290216
10022,864691132699984440
10041,864691132809046153
10042,864691132650781811
10044,864691132660978756
10047,864691132729878267
10050,864691132807138553
10065,864691132779103242
10070,864691132728109808
10076,864691132730745328
10079,864691132887804752
10086,864691132810797215
10089,864691132828278532
10097,864691132774633848
10098,864691132741740724
10105,864691132779423599
10112,864691132602026413
10118,864691132727446958
10126,864691132799346583
10130,864691132903660782
10132,864691132769643795
10135,864691132655722615
10141,864691132691696150
10146,864691132748737123
10150,864691132854839878
10156,864691132762666370
10159,864691132924216935
10162,864691132681936159
10180,864691132743899740
10182,864691132749818087
10187,864691132956453735
10199,864691132923086377
10205,864691133310578512
10209,864691132777626735
10213,864691132602079917
10219,864691132758911339
10221,864691132938679473
10228,864691132685573002
10230,864691132808118153
10231,864691132846902995
10232,864691133047221348
10234,864691132682876975
10243,864691132787799121
10255,864691132728456861
10259,864691132769655827
10263,864691132783718696
10267,864691132719782497
10268,864691132628641122
10271,864691132857672738
10277,864691132663094340
10286,864691132728071664
10298,864691132615586369
10306,864691132655958508
10315,864691132731748635
10316,864691132827323036
10317,864691133062277192
10332,864691132604783385
10342,864691132779238859
10343,864691132705102642
10350,864691132561550542
10352,864691132631229269
10369,864691132653940848
10388,864691132766159653
10395,864691132726389942
10399,864691132717972211
10405,864691132745526989
10407,864691132783919191
10417,864691132715830336
10433,864691132637459322
10436,864691132741195417
10440,864691132737608040
10442,864691132892909270
10446,864691132775718888
10451,864691132739621571
10458,864691132833116821
10470,864691132997092021
10476,864691132560096484
10503,864691132623899852
10515,864691133063779785
10518,864691132694366185
10544,864691133002882594
10552,864691132659570109
10554,864691132678493470
10557,864691133009449680
10559,864691132782520716
10563,864691133047022948
10575,864691132606466883
10578,864691132654436550
10585,864691132738992724
10612,864691132766138661
10619,864691132640546170
10620,864691132852376126
10631,864691132644320588
10633,864691132576851469
10637,864691132657309040
10658,864691132592706103
10678,864691132676290334
10688,864691132645451700
10722,864691132625363394
10738,864691132782884510
10739,864691132970776373
10740,864691132826313777
10749,864691132961861917
10754,864691132968906605
10755,864691132818900735
10769,864691132749771239
10776,864691132687820266
10797,864691132659465701
10801,864691132833001109
10804,864691132737921369
10823,864691132849725246
10833,864691132824916144
10841,864691133042979104
10849,864691132655676279
10866,864691132770555041
10872,864691132726410678
10874,864691132668166312
10882,864691132683821127
10891,864691132808088201
10893,864691132730225070
10895,864691132726941675
10902,864691132657897158
10918,864691132733913136
10930,864691132839377076
10948,864691132799349911
10962,864691132754949492
10963,864691133047258212
10971,864691132596364863
10978,864691132588536461
10981,864691132960186909
10985,864691132723295073
10995,864691132784840076
11022,864691132722826138
11023,864691133000502965
11037,864691132727352192
11039,864691132663366819
11052,864691132633874215
11057,864691132846894035
11075,864691132782924446
11077,864691132777575023
11082,864691132663935064
11090,864691132758498356
11094,864691132657975465
11106,864691132800752565
11108,864691132696032298
11118,864691132751164460
11129,864691132821301865
11146,864691132949403466
11149,864691132949418058
11158,864691132770547092
11165,864691132799364247
11170,864691132668297754
11173,864691132641118518
11179,864691132735187694
11187,864691132778014335
11205,864691132770054012
11207,864691132824925360
11218,864691132738421945
11236,864691132892993675
11247,864691133120278117
11249,864691132667375149
11264,864691132636753934
11303,864691132656569462
11318,864691132644366412
11324,864691132824882864
11328,864691132664047704
11329,864691132631242581
11330,864691132776893088
11342,864691132900528260
11353,864691132705089830
11363,864691132668761901
11370,864691133043021088
11374,864691132768840485
11381,864691132828249604
11388,864691132830717554
11398,864691132775143032
11419,864691132933718197
11436,864691132876045559
