,segment_id
739,864691132583566050
740,864691132583566818
741,864691132583567842
742,864691132583568354
743,864691132583571426
744,864691132583578338
745,864691132583584738
746,864691132583598562
747,864691132583598818
748,864691132583610338
749,864691132583614690
750,864691132583622882
751,864691132583624674
752,864691132583626722
753,864691132583632354
754,864691132583632866
755,864691132583635682
756,864691132583636706
757,864691132583642850
758,864691132583644386
759,864691132583645922
760,864691132583646434
761,864691132583796962
762,864691132583799778
763,864691132583801570
764,864691132583801826
765,864691132583805410
766,864691132583833314
767,864691132583836642
768,864691132583838690
769,864691132583839202
770,864691132583842274
771,864691132583846626
772,864691132583849442
773,864691132585020898
774,864691132585163574
775,864691132585365432
776,864691132585519670
777,864691132585574710
778,864691132585735650
779,864691132585861686
780,864691132585950774
781,864691132585970658
782,864691132586151906
783,864691132586183138
784,864691132586185698
785,864691132586199778
786,864691132586325730
787,864691132586443644
788,864691132586452534
789,864691132586797538
790,864691132586852578
791,864691132587139554
792,864691132587434466
793,864691132588522125
794,864691132588524173
795,864691132588524429
796,864691132588526477
797,864691132588529293
798,864691132588529805
799,864691132588530317
800,864691132588532621
801,864691132588534157
802,864691132588538253
803,864691132588538509
804,864691132588541581
805,864691132588542093
806,864691132588542349
807,864691132588544653
808,864691132588545421
809,864691132588551821
810,864691132588564365
811,864691132588571789
812,864691132588580749
813,864691132588582029
814,864691132588712845
815,864691132588718733
816,864691132588721805
817,864691132588783501
818,864691132588784013
819,864691132589805565
820,864691132589807869
821,864691132589810173
822,864691132589812733
823,864691132589818109
824,864691132589818365
825,864691132589819133
826,864691132589820925
827,864691132589825277
828,864691132589827837
829,864691132589829629
830,864691132589834237
831,864691132589834493
832,864691132589834749
833,864691132589836541
834,864691132589844221
835,864691132589846013
836,864691132589847549
837,864691132589848829
838,864691132589854717
839,864691132589859581
840,864691132589860349
841,864691132589862653
842,864691132589865213
843,864691132589870589
844,864691132589872893
845,864691132589873917
846,864691132589875709
847,864691132589883645
848,864691132589889277
849,864691132589889533
850,864691132589890813
851,864691132589892605
852,864691132589892861
853,864691132589894141
854,864691132589894397
855,864691132589896189
856,864691132589900285
857,864691132589901821
858,864691132589902077
859,864691132589903869
860,864691132589905917
861,864691132589907453
862,864691132589909757
863,864691132589911805
864,864691132589912621
865,864691132589913085
866,864691132589915133
867,864691132589915901
868,864691132590043277
869,864691132590130685
870,864691132590131197
871,864691132590132477
872,864691132590134269
873,864691132590141949
874,864691132590143741
875,864691132590144509
876,864691132590145533
877,864691132590147837
878,864691132590148349
879,864691132590151421
880,864691132590152701
881,864691132590153725
882,864691132590153981
883,864691132590158845
884,864691132590159357
885,864691132590159869
886,864691132590193549
887,864691132590204413
888,864691132590210045
889,864691132590210957
890,864691132590213117
891,864691132590223101
892,864691132590223613
893,864691132590223869
894,864691132590224381
895,864691132590224637
896,864691132590259453
897,864691132590739324
898,864691132590827139
899,864691132590936917
900,864691132591197325
901,864691132591241869
902,864691132591389837
903,864691132591398909
904,864691132591559309
905,864691132591605245
906,864691132591635341
907,864691132591638413
908,864691132591669133
909,864691132591860092
910,864691132591988989
911,864691132592036237
912,864691132592395132
913,864691132592438781
914,864691132592528893
915,864691132592578813
916,864691132592628989
917,864691132592663095
918,864691132592667959
919,864691132592670775
920,864691132592671543
921,864691132592671799
922,864691132592673079
923,864691132592673847
924,864691132592678967
925,864691132592679223
926,864691132592679991
927,864691132592685879
928,864691132592686903
929,864691132592688951
930,864691132592691255
931,864691132592691511
932,864691132592692535
933,864691132592694071
934,864691132592694327
935,864691132592697911
936,864691132592701495
937,864691132592702007
938,864691132592703031
939,864691132592704823
940,864691132592705335
941,864691132592712247
942,864691132592715575
943,864691132592721207
944,864691132592722999
945,864691132592725047
946,864691132592725303
947,864691132592732215
948,864691132592739383
949,864691132592740663
950,864691132592741687
951,864691132592742967
952,864691132592743479
953,864691132592743735
954,864691132592749111
955,864691132592750647
956,864691132592751159
957,864691132592752695
958,864691132592757303
959,864691132592759863
960,864691132592799485
961,864691132592807223
962,864691132592859133
963,864691132592874807
964,864691132592877111
965,864691132592922679
966,864691132592924157
967,864691132592924983
968,864691132592930103
969,864691132592931895
970,864691132592943159
971,864691132592944695
972,864691132592949815
973,864691132592952375
974,864691132592957495
975,864691132592958519
976,864691132592959031
977,864691132593054717
978,864691132593112317
979,864691132593152253
980,864691132593155069
981,864691132593170685
982,864691132593281079
983,864691132593306109
984,864691132593314813
985,864691132593398781
986,864691132593448759
987,864691132593510909
988,864691132593898038
989,864691132593971767
990,864691132594222391
991,864691132594652215
992,864691132594841911
993,864691132594962231
994,864691132595048759
995,864691132595320631
996,864691132595449911
997,864691132595795255
998,864691132595836215
999,864691132595854903
1000,864691132595877687
1001,864691132596015159
1002,864691132596078647
1003,864691132596264503
1004,864691132596302911
1005,864691132596304183
1006,864691132596306239
1007,864691132596306495
1008,864691132596308799
1009,864691132596309823
1010,864691132596315455
1011,864691132596316479
1012,864691132596317247
1013,864691132596318271
1014,864691132596318527
1015,864691132596319295
1016,864691132596321599
1017,864691132596324415
1018,864691132596324927
1019,864691132596326719
1020,864691132596329279
1021,864691132596330047
1022,864691132596332351
1023,864691132596336959
1024,864691132596339519
1025,864691132596340799
1026,864691132596341311
1027,864691132596346175
1028,864691132596346687
1029,864691132596347967
1030,864691132596354623
1031,864691132596356415
1032,864691132596358207
1033,864691132596366143
1034,864691132596373311
1035,864691132596374847
